"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Kaua'i Island",1000,"interpolated",2,0.993,5.456,5.357,5.555,16
"Maui Nui",1000,"interpolated",0,0.997,20.868,20.522,21.214,16
"Maui Nui",1000,"interpolated",1,0.997,5.143,5.054,5.231,16
"Maui Nui",1000,"interpolated",2,0.997,3.152,3.089,3.215,16
"O'ahu Island",1000,"interpolated",0,0.996,18.231,17.693,18.768,16
"O'ahu Island",1000,"interpolated",1,0.996,5.293,5.207,5.378,16
"O'ahu Island",1000,"interpolated",2,0.996,3.461,3.399,3.523,16
"Hawai'i Island",1000,"interpolated",0,1,11.878,11.818,11.938,17
"Hawai'i Island",1000,"interpolated",1,1,5.406,5.318,5.494,17
"Hawai'i Island",1000,"interpolated",2,1,3.465,3.392,3.539,17
"Kaua'i Island",1000,"interpolated",0,0.995,30.996,30.317,31.674,17
"Kaua'i Island",1000,"interpolated",1,0.995,8.57,8.379,8.762,17
"Kaua'i Island",1000,"interpolated",2,0.995,5.329,5.212,5.446,17
"Maui Nui",1000,"interpolated",0,0.998,16.786,16.513,17.059,17
"Maui Nui",1000,"interpolated",1,0.998,5.211,5.113,5.309,17
"Maui Nui",1000,"interpolated",2,0.998,2.992,2.937,3.047,17
"O'ahu Island",1000,"interpolated",0,0.996,18.333,17.83,18.835,17
"O'ahu Island",1000,"interpolated",1,0.996,5.119,5.033,5.204,17
"O'ahu Island",1000,"interpolated",2,0.996,3.369,3.31,3.429,17
"Hawai'i Island",1000,"interpolated",0,0.999,10.435,10.26,10.61,18
"Hawai'i Island",1000,"interpolated",1,0.999,5.89,5.832,5.947,18
"Hawai'i Island",1000,"interpolated",2,0.999,4.777,4.713,4.841,18
"Kaua'i Island",1000,"interpolated",0,0.995,32.376,31.696,33.056,18
"Kaua'i Island",1000,"interpolated",1,0.995,5.795,5.608,5.982,18
"Kaua'i Island",1000,"interpolated",2,0.995,3.104,3.027,3.182,18
"Maui Nui",1000,"interpolated",0,0.996,21.414,20.83,21.998,18
"Maui Nui",1000,"interpolated",1,0.996,5.588,5.482,5.694,18
"Maui Nui",1000,"interpolated",2,0.996,3.595,3.528,3.662,18
"O'ahu Island",1000,"interpolated",0,0.995,19.998,19.357,20.639,18
"O'ahu Island",1000,"interpolated",1,0.995,3.763,3.689,3.837,18
"O'ahu Island",1000,"interpolated",2,0.995,2.503,2.46,2.547,18
"Hawai'i Island",1000,"interpolated",0,0.999,14.349,14.182,14.517,19
"Hawai'i Island",1000,"interpolated",1,0.999,5.04,4.976,5.104,19
"Hawai'i Island",1000,"interpolated",2,0.999,3.648,3.597,3.698,19
"Kaua'i Island",1000,"interpolated",0,0.995,22.66,22.001,23.319,19
"Kaua'i Island",1000,"interpolated",1,0.995,6.257,6.129,6.384,19
"Kaua'i Island",1000,"interpolated",2,0.995,4.54,4.477,4.604,19
"Maui Nui",1000,"interpolated",0,0.998,18.033,17.758,18.308,19
"Maui Nui",1000,"interpolated",1,0.998,6.745,6.629,6.86,19
"Maui Nui",1000,"interpolated",2,0.998,4.597,4.509,4.685,19
"O'ahu Island",1000,"interpolated",0,0.998,15.47,15.114,15.825,19
"O'ahu Island",1000,"interpolated",1,0.998,3.758,3.687,3.828,19
"O'ahu Island",1000,"interpolated",2,0.998,2.578,2.531,2.626,19
"Hawai'i Island",1000,"interpolated",0,0.999,8.927,8.7,9.154,20
"Hawai'i Island",1000,"interpolated",1,0.999,2.302,2.267,2.336,20
"Hawai'i Island",1000,"interpolated",2,0.999,1.574,1.556,1.592,20
"Kaua'i Island",1000,"interpolated",0,0.995,34.009,33.251,34.768,20
"Kaua'i Island",1000,"interpolated",1,0.995,7.418,7.185,7.65,20
"Kaua'i Island",1000,"interpolated",2,0.995,4.305,4.196,4.413,20
"Maui Nui",1000,"interpolated",0,0.998,16.299,15.906,16.692,20
"Maui Nui",1000,"interpolated",1,0.998,4.873,4.794,4.951,20
"Maui Nui",1000,"interpolated",2,0.998,2.829,2.78,2.879,20
"O'ahu Island",1000,"interpolated",0,0.998,16.949,16.676,17.222,20
"O'ahu Island",1000,"interpolated",1,0.998,3.302,3.232,3.373,20
"O'ahu Island",1000,"interpolated",2,0.998,2.253,2.215,2.291,20
"Hawai'i Island",1000,"interpolated",0,0.999,11.367,11.163,11.571,21
"Hawai'i Island",1000,"interpolated",1,0.999,3.361,3.304,3.418,21
"Hawai'i Island",1000,"interpolated",2,0.999,2.249,2.212,2.285,21
"Kaua'i Island",1000,"interpolated",0,0.994,28.933,28.153,29.713,21
"Kaua'i Island",1000,"interpolated",1,0.994,5.532,5.378,5.687,21
"Kaua'i Island",1000,"interpolated",2,0.994,3.177,3.102,3.253,21
"Maui Nui",1000,"interpolated",0,0.998,15.394,15.087,15.701,21
"Maui Nui",1000,"interpolated",1,0.998,5.612,5.535,5.689,21
"Maui Nui",1000,"interpolated",2,0.998,3.933,3.874,3.991,21
"O'ahu Island",1000,"interpolated",0,0.998,10.372,9.973,10.77,21
"O'ahu Island",1000,"interpolated",1,0.998,3.751,3.7,3.802,21
"O'ahu Island",1000,"interpolated",2,0.998,2.755,2.711,2.8,21
"Hawai'i Island",1000,"interpolated",0,0.999,7.586,7.43,7.742,22
"Hawai'i Island",1000,"interpolated",1,0.999,2.258,2.226,2.29,22
"Hawai'i Island",1000,"interpolated",2,0.999,1.604,1.585,1.624,22
"Kaua'i Island",1000,"interpolated",0,0.993,26.906,26.171,27.642,22
"Kaua'i Island",1000,"interpolated",1,0.993,6.076,5.963,6.189,22
"Kaua'i Island",1000,"interpolated",2,0.993,3.835,3.763,3.907,22
"Maui Nui",1000,"interpolated",0,0.997,18.735,18.324,19.145,22
"Maui Nui",1000,"interpolated",1,0.997,5.54,5.458,5.622,22
"Maui Nui",1000,"interpolated",2,0.997,3.855,3.79,3.92,22
"O'ahu Island",1000,"interpolated",0,0.999,17.436,17.21,17.662,22
"O'ahu Island",1000,"interpolated",1,0.999,6.316,6.216,6.417,22
"O'ahu Island",1000,"interpolated",2,0.999,4.931,4.86,5.001,22
"Hawai'i Island",1000,"interpolated",0,0.997,10.976,10.498,11.453,23
"Hawai'i Island",1000,"interpolated",1,0.997,3.286,3.233,3.338,23
"Hawai'i Island",1000,"interpolated",2,0.997,2.62,2.59,2.651,23
"Kaua'i Island",1000,"interpolated",0,0.994,26.806,25.994,27.617,23
"Kaua'i Island",1000,"interpolated",1,0.994,5.99,5.866,6.114,23
"Kaua'i Island",1000,"interpolated",2,0.994,3.827,3.759,3.895,23
"Maui Nui",1000,"interpolated",0,0.997,16.863,16.479,17.248,23
"Maui Nui",1000,"interpolated",1,0.997,5.192,5.123,5.262,23
"Maui Nui",1000,"interpolated",2,0.997,3.829,3.777,3.881,23
"O'ahu Island",1000,"interpolated",0,0.997,14.741,14.314,15.168,23
"O'ahu Island",1000,"interpolated",1,0.997,3.117,3.06,3.175,23
"O'ahu Island",1000,"interpolated",2,0.997,2.062,2.029,2.096,23
"Hawai'i Island",1000,"interpolated",0,0.999,10.764,10.609,10.919,24
"Hawai'i Island",1000,"interpolated",1,0.999,1.956,1.911,2.002,24
"Hawai'i Island",1000,"interpolated",2,0.999,1.359,1.34,1.379,24
"Kaua'i Island",1000,"interpolated",0,0.994,30.322,29.618,31.026,24
"Kaua'i Island",1000,"interpolated",1,0.994,6.185,6.043,6.326,24
"Kaua'i Island",1000,"interpolated",2,0.994,3.83,3.755,3.905,24
"Maui Nui",1000,"interpolated",0,0.999,14.838,14.612,15.065,24
"Maui Nui",1000,"interpolated",1,0.999,5.886,5.805,5.968,24
"Maui Nui",1000,"interpolated",2,0.999,3.979,3.913,4.045,24
"O'ahu Island",1000,"interpolated",0,0.997,17.702,17.338,18.067,24
"O'ahu Island",1000,"interpolated",1,0.997,5.234,5.152,5.316,24
"O'ahu Island",1000,"interpolated",2,0.997,3.446,3.386,3.507,24
"Hawai'i Island",1000,"interpolated",0,0.999,11.658,11.486,11.83,25
"Hawai'i Island",1000,"interpolated",1,0.999,5.355,5.278,5.433,25
"Hawai'i Island",1000,"interpolated",2,0.999,4.171,4.113,4.228,25
"Kaua'i Island",1000,"interpolated",0,0.993,27.5,26.724,28.277,25
"Kaua'i Island",1000,"interpolated",1,0.993,6.048,5.931,6.166,25
"Kaua'i Island",1000,"interpolated",2,0.993,4.02,3.945,4.095,25
"Maui Nui",1000,"interpolated",0,0.998,17.106,16.798,17.414,25
"Maui Nui",1000,"interpolated",1,0.998,5.667,5.575,5.758,25
"Maui Nui",1000,"interpolated",2,0.998,3.591,3.525,3.656,25
"O'ahu Island",1000,"interpolated",0,0.996,19.553,19.014,20.092,25
"O'ahu Island",1000,"interpolated",1,0.996,3.287,3.222,3.351,25
"O'ahu Island",1000,"interpolated",2,0.996,2.219,2.181,2.258,25
"Hawai'i Island",1000,"interpolated",0,0.998,15.162,14.875,15.449,26
"Hawai'i Island",1000,"interpolated",1,0.998,2.223,2.172,2.274,26
"Hawai'i Island",1000,"interpolated",2,0.998,1.464,1.442,1.487,26
"Kaua'i Island",1000,"interpolated",0,0.993,33.701,32.903,34.499,26
"Kaua'i Island",1000,"interpolated",1,0.993,7.204,7.049,7.359,26
"Kaua'i Island",1000,"interpolated",2,0.993,4.495,4.41,4.58,26
"Maui Nui",1000,"interpolated",0,0.996,19.506,19.024,19.988,26
"Maui Nui",1000,"interpolated",1,0.996,6.221,6.132,6.31,26
"Maui Nui",1000,"interpolated",2,0.996,4.355,4.289,4.421,26
"O'ahu Island",1000,"interpolated",0,0.996,19.693,19.149,20.237,26
"O'ahu Island",1000,"interpolated",1,0.996,3.457,3.388,3.527,26
"O'ahu Island",1000,"interpolated",2,0.996,2.306,2.269,2.342,26
"Hawai'i Island",1000,"interpolated",0,0.998,13.614,13.302,13.926,27
"Hawai'i Island",1000,"interpolated",1,0.998,2.798,2.752,2.844,27
"Hawai'i Island",1000,"interpolated",2,0.998,1.78,1.758,1.803,27
"Kaua'i Island",1000,"interpolated",0,0.993,32.729,31.974,33.485,27
"Kaua'i Island",1000,"interpolated",1,0.993,7.768,7.622,7.913,27
"Kaua'i Island",1000,"interpolated",2,0.993,5.037,4.958,5.115,27
"Maui Nui",1000,"interpolated",0,0.998,10.467,10.21,10.725,27
"Maui Nui",1000,"interpolated",1,0.998,4.178,4.131,4.225,27
"Maui Nui",1000,"interpolated",2,0.998,3.26,3.218,3.303,27
"O'ahu Island",1000,"interpolated",0,0.997,16.808,16.44,17.176,27
"O'ahu Island",1000,"interpolated",1,0.997,5.126,5.043,5.208,27
"O'ahu Island",1000,"interpolated",2,0.997,3.409,3.346,3.471,27
"Hawai'i Island",1000,"interpolated",0,0.999,12.458,12.278,12.638,28
"Hawai'i Island",1000,"interpolated",1,0.999,3.149,3.08,3.218,28
"Hawai'i Island",1000,"interpolated",2,0.999,1.923,1.889,1.956,28
"Kaua'i Island",1000,"interpolated",0,0.994,30.728,29.989,31.467,28
"Kaua'i Island",1000,"interpolated",1,0.994,7.325,7.172,7.477,28
"Kaua'i Island",1000,"interpolated",2,0.994,4.89,4.812,4.968,28
"Maui Nui",1000,"interpolated",0,0.997,14.253,13.967,14.538,28
"Maui Nui",1000,"interpolated",1,0.997,4.462,4.407,4.516,28
"Maui Nui",1000,"interpolated",2,0.997,3.015,2.968,3.062,28
"O'ahu Island",1000,"interpolated",0,0.997,13.454,13.034,13.873,28
"O'ahu Island",1000,"interpolated",1,0.997,4.395,4.33,4.459,28
"O'ahu Island",1000,"interpolated",2,0.997,3.075,3.021,3.129,28
"Hawai'i Island",1000,"interpolated",0,0.998,14.435,14.149,14.721,29
"Hawai'i Island",1000,"interpolated",1,0.998,2.585,2.548,2.622,29
"Hawai'i Island",1000,"interpolated",2,0.998,1.637,1.619,1.655,29
"Kaua'i Island",1000,"interpolated",0,0.993,27.939,27.172,28.706,29
"Kaua'i Island",1000,"interpolated",1,0.993,7.382,7.232,7.532,29
"Kaua'i Island",1000,"interpolated",2,0.993,5.061,4.977,5.144,29
"Maui Nui",1000,"interpolated",0,0.998,17.266,16.863,17.669,29
"Maui Nui",1000,"interpolated",1,0.998,6.051,5.943,6.159,29
"Maui Nui",1000,"interpolated",2,0.998,3.85,3.78,3.921,29
"O'ahu Island",1000,"interpolated",0,0.997,16.924,16.273,17.575,29
"O'ahu Island",1000,"interpolated",1,0.997,5.467,5.386,5.547,29
"O'ahu Island",1000,"interpolated",2,0.997,4.303,4.234,4.371,29
"Hawai'i Island",1000,"interpolated",0,0.999,11.54,11.381,11.699,30
"Hawai'i Island",1000,"interpolated",1,0.999,4.865,4.807,4.924,30
"Hawai'i Island",1000,"interpolated",2,0.999,3.72,3.67,3.771,30
"Kaua'i Island",1000,"interpolated",0,0.996,21.395,20.845,21.946,30
"Kaua'i Island",1000,"interpolated",1,0.996,6.501,6.391,6.611,30
"Kaua'i Island",1000,"interpolated",2,0.996,4.673,4.601,4.746,30
"Maui Nui",1000,"interpolated",0,0.999,10.667,10.396,10.938,30
"Maui Nui",1000,"interpolated",1,0.999,4.042,3.993,4.091,30
