"Iteration","geo_entity2","PlotID","Plot_Area"
59,"Maui Nui",142,1000
60,"Maui Nui",35,1000
60,"Maui Nui",357,504.34
60,"Maui Nui",378,672.45
60,"Maui Nui",34,1000
60,"Maui Nui",459,168.11
60,"Maui Nui",222,1000
60,"Maui Nui",350,672.45
60,"Maui Nui",178,1000
60,"Maui Nui",349,504.34
60,"Maui Nui",25,1000
61,"Maui Nui",356,504.34
61,"Maui Nui",459,168.11
61,"Maui Nui",29,1000
61,"Maui Nui",294,1000
61,"Maui Nui",299,672.45
61,"Maui Nui",34,1000
61,"Maui Nui",175,1000
61,"Maui Nui",377,168.11
61,"Maui Nui",345,672.45
61,"Maui Nui",349,504.34
62,"Maui Nui",439,336.23
62,"Maui Nui",350,672.45
62,"Maui Nui",358,504.34
62,"Maui Nui",299,672.45
62,"Maui Nui",29,1000
62,"Maui Nui",525,504.34
62,"Maui Nui",343,504.34
62,"Maui Nui",452,672.45
62,"Maui Nui",142,1000
62,"Maui Nui",222,1000
63,"Maui Nui",378,672.45
63,"Maui Nui",222,1000
63,"Maui Nui",442,336.23
63,"Maui Nui",343,504.34
63,"Maui Nui",37,1000
63,"Maui Nui",459,168.11
63,"Maui Nui",35,1000
63,"Maui Nui",179,1000
63,"Maui Nui",349,504.34
63,"Maui Nui",180,1000
64,"Maui Nui",219,1000
64,"Maui Nui",142,1000
64,"Maui Nui",34,1000
64,"Maui Nui",459,168.11
64,"Maui Nui",299,672.45
64,"Maui Nui",356,504.34
64,"Maui Nui",442,336.23
64,"Maui Nui",294,1000
64,"Maui Nui",176,1000
64,"Maui Nui",30,1000
65,"Maui Nui",175,1000
65,"Maui Nui",525,504.34
65,"Maui Nui",44,1000
65,"Maui Nui",35,1000
65,"Maui Nui",378,672.45
65,"Maui Nui",142,1000
65,"Maui Nui",176,1000
65,"Maui Nui",439,336.23
65,"Maui Nui",30,1000
65,"Maui Nui",377,168.11
66,"Maui Nui",377,168.11
66,"Maui Nui",515,168.11
66,"Maui Nui",348,672.45
66,"Maui Nui",294,1000
66,"Maui Nui",345,672.45
66,"Maui Nui",356,504.34
66,"Maui Nui",44,1000
66,"Maui Nui",378,672.45
66,"Maui Nui",180,1000
66,"Maui Nui",178,1000
67,"Maui Nui",350,672.45
67,"Maui Nui",439,336.23
67,"Maui Nui",222,1000
67,"Maui Nui",30,1000
67,"Maui Nui",349,504.34
67,"Maui Nui",452,672.45
67,"Maui Nui",35,1000
67,"Maui Nui",343,504.34
67,"Maui Nui",34,1000
67,"Maui Nui",25,1000
68,"Maui Nui",348,672.45
68,"Maui Nui",377,168.11
68,"Maui Nui",175,1000
68,"Maui Nui",37,1000
68,"Maui Nui",356,504.34
68,"Maui Nui",299,672.45
68,"Maui Nui",44,1000
68,"Maui Nui",177,1000
68,"Maui Nui",357,504.34
68,"Maui Nui",219,1000
69,"Maui Nui",176,1000
69,"Maui Nui",439,336.23
69,"Maui Nui",442,336.23
69,"Maui Nui",378,672.45
69,"Maui Nui",343,504.34
69,"Maui Nui",37,1000
69,"Maui Nui",35,1000
69,"Maui Nui",350,672.45
69,"Maui Nui",348,672.45
69,"Maui Nui",180,1000
70,"Maui Nui",44,1000
70,"Maui Nui",442,336.23
70,"Maui Nui",525,504.34
70,"Maui Nui",294,1000
70,"Maui Nui",179,1000
70,"Maui Nui",452,672.45
70,"Maui Nui",357,504.34
70,"Maui Nui",377,168.11
70,"Maui Nui",142,1000
70,"Maui Nui",439,336.23
71,"Maui Nui",525,504.34
71,"Maui Nui",349,504.34
71,"Maui Nui",439,336.23
71,"Maui Nui",180,1000
71,"Maui Nui",299,672.45
71,"Maui Nui",142,1000
71,"Maui Nui",345,672.45
71,"Maui Nui",378,672.45
71,"Maui Nui",294,1000
71,"Maui Nui",357,504.34
72,"Maui Nui",175,1000
72,"Maui Nui",177,1000
72,"Maui Nui",176,1000
72,"Maui Nui",349,504.34
72,"Maui Nui",20,1000
72,"Maui Nui",377,168.11
72,"Maui Nui",343,504.34
72,"Maui Nui",525,504.34
72,"Maui Nui",442,336.23
72,"Maui Nui",345,672.45
73,"Maui Nui",178,1000
73,"Maui Nui",515,168.11
73,"Maui Nui",176,1000
73,"Maui Nui",452,672.45
73,"Maui Nui",222,1000
73,"Maui Nui",180,1000
73,"Maui Nui",37,1000
73,"Maui Nui",343,504.34
73,"Maui Nui",345,672.45
