"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,30.167,29.831,30.503,0.995,0.995,0.996,"O'ahu Island",8
10000,"interpolated",0,34.853,34.561,35.144,1,1,1,"O'ahu Island",8
1000,"interpolated",1,9.156,9.021,9.291,0.995,0.995,0.996,"O'ahu Island",8
10000,"interpolated",1,9.305,9.168,9.442,1,1,1,"O'ahu Island",8
1000,"interpolated",2,6.133,6.063,6.202,0.995,0.995,0.996,"O'ahu Island",8
10000,"interpolated",2,6.161,6.091,6.231,1,1,1,"O'ahu Island",8
1000,"interpolated",0,16.826,16.763,16.888,0.999,0.999,1,"Hawai'i Island",9
10000,"interpolated",0,17,17,17,1,1,1,"Hawai'i Island",9
1000,"interpolated",1,7.894,7.797,7.99,0.999,0.999,1,"Hawai'i Island",9
10000,"interpolated",1,7.952,7.855,8.05,1,1,1,"Hawai'i Island",9
1000,"interpolated",2,6.09,6.019,6.16,0.999,0.999,1,"Hawai'i Island",9
10000,"interpolated",2,6.118,6.047,6.189,1,1,1,"Hawai'i Island",9
1000,"interpolated",0,29.399,28.813,29.985,0.992,0.992,0.992,"Kaua'i Island",9
10000,"interpolated",0,44.987,44.405,45.57,1,1,1,"Kaua'i Island",9
1000,"interpolated",1,4.316,4.246,4.387,0.992,0.992,0.993,"Kaua'i Island",9
10000,"interpolated",1,4.401,4.329,4.474,1,1,1,"Kaua'i Island",9
1000,"interpolated",2,2.337,2.302,2.373,0.992,0.992,0.993,"Kaua'i Island",9
10000,"interpolated",2,2.34,2.305,2.376,1,1,1,"Kaua'i Island",9
1000,"interpolated",0,16.334,16.203,16.465,0.999,0.998,0.999,"Maui Nui",9
10000,"interpolated",0,17,17,17,1,1,1,"Maui Nui",9
1000,"interpolated",1,6.339,6.264,6.415,0.999,0.999,0.999,"Maui Nui",9
10000,"interpolated",1,6.388,6.312,6.464,1,1,1,"Maui Nui",9
1000,"interpolated",2,4.371,4.307,4.434,0.999,0.999,0.999,"Maui Nui",9
10000,"interpolated",2,4.384,4.32,4.448,1,1,1,"Maui Nui",9
1000,"interpolated",0,25.295,24.781,25.808,0.995,0.995,0.995,"O'ahu Island",9
10000,"interpolated",0,33.615,33.275,33.954,1,1,1,"O'ahu Island",9
1000,"interpolated",1,7.916,7.845,7.986,0.995,0.994,0.995,"O'ahu Island",9
10000,"interpolated",1,8.035,7.964,8.107,1,1,1,"O'ahu Island",9
1000,"interpolated",2,5.645,5.59,5.7,0.995,0.994,0.995,"O'ahu Island",9
10000,"interpolated",2,5.669,5.614,5.724,1,1,1,"O'ahu Island",9
1000,"interpolated",0,15.287,15.103,15.471,0.999,0.999,0.999,"Hawai'i Island",10
10000,"interpolated",0,16,16,16,1,1,1,"Hawai'i Island",10
1000,"interpolated",1,4.676,4.6,4.752,0.999,0.999,0.999,"Hawai'i Island",10
10000,"interpolated",1,4.71,4.633,4.786,1,1,1,"Hawai'i Island",10
1000,"interpolated",2,2.929,2.89,2.968,0.999,0.999,0.999,"Hawai'i Island",10
10000,"interpolated",2,2.934,2.895,2.974,1,1,1,"Hawai'i Island",10
1000,"interpolated",0,27.98,27.436,28.525,0.991,0.99,0.991,"Kaua'i Island",10
10000,"interpolated",0,43.253,42.804,43.703,1,1,1,"Kaua'i Island",10
1000,"interpolated",1,6.354,6.29,6.417,0.991,0.99,0.991,"Kaua'i Island",10
10000,"interpolated",1,6.479,6.414,6.543,1,1,1,"Kaua'i Island",10
1000,"interpolated",2,3.605,3.563,3.647,0.991,0.99,0.991,"Kaua'i Island",10
10000,"interpolated",2,3.614,3.571,3.656,1,1,1,"Kaua'i Island",10
1000,"interpolated",0,17.923,17.75,18.096,0.998,0.998,0.998,"Maui Nui",10
10000,"interpolated",0,19.878,19.696,20.059,1,1,1,"Maui Nui",10
1000,"interpolated",1,7.451,7.389,7.514,0.998,0.998,0.998,"Maui Nui",10
10000,"interpolated",1,7.518,7.455,7.581,1,1,1,"Maui Nui",10
1000,"interpolated",2,5.845,5.794,5.897,0.998,0.998,0.998,"Maui Nui",10
10000,"interpolated",2,5.871,5.819,5.923,1,1,1,"Maui Nui",10
1000,"interpolated",0,22.812,22.474,23.149,0.996,0.995,0.996,"O'ahu Island",10
10000,"interpolated",0,27.877,27.656,28.098,1,1,1,"O'ahu Island",10
1000,"interpolated",1,6.839,6.758,6.92,0.996,0.995,0.996,"O'ahu Island",10
10000,"interpolated",1,6.927,6.845,7.009,1,1,1,"O'ahu Island",10
1000,"interpolated",2,4.383,4.321,4.446,0.996,0.995,0.996,"O'ahu Island",10
10000,"interpolated",2,4.397,4.334,4.46,1,1,1,"O'ahu Island",10
1000,"interpolated",0,14.212,14,14.425,0.999,0.998,0.999,"Hawai'i Island",11
10000,"interpolated",0,15.954,15.788,16.12,1,1,1,"Hawai'i Island",11
1000,"interpolated",1,4.426,4.369,4.482,0.999,0.999,0.999,"Hawai'i Island",11
10000,"interpolated",1,4.457,4.4,4.514,1,1,1,"Hawai'i Island",11
1000,"interpolated",2,3.079,3.038,3.119,0.999,0.999,0.999,"Hawai'i Island",11
10000,"interpolated",2,3.085,3.044,3.125,1,1,1,"Hawai'i Island",11
1000,"interpolated",0,19.208,18.867,19.548,0.996,0.996,0.996,"Kaua'i Island",11
10000,"interpolated",0,23.974,23.904,24.043,1,1,1,"Kaua'i Island",11
1000,"interpolated",1,4.59,4.536,4.645,0.996,0.996,0.996,"Kaua'i Island",11
10000,"interpolated",1,4.641,4.586,4.696,1,1,1,"Kaua'i Island",11
1000,"interpolated",2,2.591,2.558,2.624,0.996,0.996,0.996,"Kaua'i Island",11
10000,"interpolated",2,2.595,2.562,2.628,1,1,1,"Kaua'i Island",11
1000,"interpolated",0,17.792,17.402,18.182,0.998,0.998,0.998,"Maui Nui",11
10000,"interpolated",0,20.986,20.904,21.067,1,1,1,"Maui Nui",11
1000,"interpolated",1,8.403,8.306,8.501,0.998,0.998,0.998,"Maui Nui",11
10000,"interpolated",1,8.482,8.384,8.58,1,1,1,"Maui Nui",11
1000,"interpolated",2,6.143,6.052,6.233,0.998,0.998,0.998,"Maui Nui",11
10000,"interpolated",2,6.171,6.08,6.263,1,1,1,"Maui Nui",11
1000,"interpolated",0,21.954,21.564,22.345,0.996,0.996,0.996,"O'ahu Island",11
10000,"interpolated",0,26.761,26.45,27.073,1,1,1,"O'ahu Island",11
1000,"interpolated",1,9.508,9.415,9.601,0.996,0.996,0.996,"O'ahu Island",11
10000,"interpolated",1,9.624,9.529,9.719,1,1,1,"O'ahu Island",11
1000,"interpolated",2,7.398,7.342,7.453,0.996,0.996,0.996,"O'ahu Island",11
10000,"interpolated",2,7.44,7.384,7.497,1,1,1,"O'ahu Island",11
1000,"interpolated",0,20.296,20.032,20.561,0.998,0.998,0.998,"Hawai'i Island",12
10000,"interpolated",0,21.994,21.919,22.07,1,1,1,"Hawai'i Island",12
1000,"interpolated",1,7.801,7.69,7.911,0.998,0.998,0.998,"Hawai'i Island",12
10000,"interpolated",1,7.879,7.767,7.99,1,1,1,"Hawai'i Island",12
1000,"interpolated",2,5.033,4.937,5.129,0.998,0.998,0.998,"Hawai'i Island",12
10000,"interpolated",2,5.052,4.955,5.148,1,1,1,"Hawai'i Island",12
1000,"interpolated",0,18.814,18.402,19.226,0.994,0.994,0.994,"Kaua'i Island",12
10000,"interpolated",0,30.627,30.077,31.177,1,1,1,"Kaua'i Island",12
1000,"interpolated",1,2.371,2.348,2.394,0.994,0.994,0.994,"Kaua'i Island",12
10000,"interpolated",1,2.403,2.379,2.426,1,1,1,"Kaua'i Island",12
1000,"interpolated",2,1.52,1.508,1.532,0.994,0.994,0.994,"Kaua'i Island",12
10000,"interpolated",2,1.521,1.509,1.533,1,1,1,"Kaua'i Island",12
1000,"interpolated",0,22.159,21.732,22.587,0.995,0.995,0.995,"Maui Nui",12
10000,"interpolated",0,26.993,26.962,27.024,1,1,1,"Maui Nui",12
1000,"interpolated",1,7.213,7.14,7.287,0.995,0.995,0.995,"Maui Nui",12
10000,"interpolated",1,7.306,7.232,7.38,1,1,1,"Maui Nui",12
1000,"interpolated",2,5.135,5.074,5.196,0.995,0.995,0.995,"Maui Nui",12
10000,"interpolated",2,5.154,5.093,5.215,1,1,1,"Maui Nui",12
1000,"interpolated",0,26.219,25.936,26.502,0.995,0.995,0.995,"O'ahu Island",12
10000,"interpolated",0,30.952,30.842,31.062,1,1,1,"O'ahu Island",12
1000,"interpolated",1,7.94,7.863,8.018,0.995,0.995,0.995,"O'ahu Island",12
10000,"interpolated",1,8.057,7.978,8.136,1,1,1,"O'ahu Island",12
1000,"interpolated",2,5.809,5.749,5.868,0.995,0.995,0.995,"O'ahu Island",12
10000,"interpolated",2,5.834,5.774,5.894,1,1,1,"O'ahu Island",12
1000,"interpolated",0,11.664,11.335,11.993,0.998,0.998,0.998,"Hawai'i Island",13
10000,"interpolated",0,13.961,13.855,14.067,1,1,1,"Hawai'i Island",13
1000,"interpolated",1,5.378,5.324,5.433,0.998,0.998,0.998,"Hawai'i Island",13
10000,"interpolated",1,5.411,5.356,5.466,1,1,1,"Hawai'i Island",13
1000,"interpolated",2,4.002,3.946,4.058,0.998,0.998,0.998,"Hawai'i Island",13
10000,"interpolated",2,4.013,3.957,4.069,1,1,1,"Hawai'i Island",13
1000,"interpolated",0,24.318,23.911,24.726,0.991,0.991,0.992,"Kaua'i Island",13
10000,"interpolated",0,39.2,38.509,39.892,1,1,1,"Kaua'i Island",13
1000,"interpolated",1,2.448,2.42,2.477,0.991,0.991,0.992,"Kaua'i Island",13
10000,"interpolated",1,2.491,2.462,2.52,1,1,1,"Kaua'i Island",13
1000,"interpolated",2,1.559,1.549,1.568,0.991,0.991,0.992,"Kaua'i Island",13
10000,"interpolated",2,1.559,1.55,1.569,1,1,1,"Kaua'i Island",13
1000,"interpolated",0,19.701,19.349,20.052,0.996,0.996,0.996,"Maui Nui",13
10000,"interpolated",0,26.742,26.474,27.01,1,1,1,"Maui Nui",13
1000,"interpolated",1,5.821,5.76,5.882,0.996,0.996,0.996,"Maui Nui",13
10000,"interpolated",1,5.89,5.828,5.952,1,1,1,"Maui Nui",13
1000,"interpolated",2,3.951,3.908,3.994,0.996,0.996,0.996,"Maui Nui",13
10000,"interpolated",2,3.962,3.919,4.005,1,1,1,"Maui Nui",13
1000,"interpolated",0,32.875,32.267,33.483,0.994,0.994,0.994,"O'ahu Island",13
10000,"interpolated",0,41.661,41.145,42.178,1,1,1,"O'ahu Island",13
1000,"interpolated",1,13.42,13.26,13.579,0.994,0.994,0.994,"O'ahu Island",13
10000,"interpolated",1,13.675,13.512,13.837,1,1,1,"O'ahu Island",13
1000,"interpolated",2,8.683,8.562,8.803,0.994,0.994,0.994,"O'ahu Island",13
10000,"interpolated",2,8.743,8.621,8.865,1,1,1,"O'ahu Island",13
1000,"interpolated",0,15.272,15.069,15.474,0.999,0.999,0.999,"Hawai'i Island",14
10000,"interpolated",0,16,16,16,1,1,1,"Hawai'i Island",14
1000,"interpolated",1,6.147,6.088,6.206,0.999,0.999,0.999,"Hawai'i Island",14
10000,"interpolated",1,6.191,6.132,6.251,1,1,1,"Hawai'i Island",14
1000,"interpolated",2,4.749,4.708,4.79,0.999,0.999,0.999,"Hawai'i Island",14
10000,"interpolated",2,4.765,4.724,4.806,1,1,1,"Hawai'i Island",14
1000,"interpolated",0,33.473,32.956,33.989,0.992,0.992,0.992,"Kaua'i Island",14
