"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"189",100,"interpolated",0,8.332,8.205,8.458,0.981,0.98,0.982,"Maui Nui","18",8.31903446661933
"190",200,"interpolated",0,9.69,9.525,9.855,0.99,0.99,0.991,"Maui Nui","18",10.1229805702121
"191",300,"interpolated",0,10.462,10.285,10.638,0.994,0.994,0.994,"Maui Nui","18",11.0360684996406
"192",400,"interpolated",0,10.948,10.777,11.119,0.996,0.996,0.996,"Maui Nui","18",11.897340665704
"193",500,"interpolated",0,11.269,11.113,11.425,0.997,0.997,0.998,"Maui Nui","18",12.2840558128155
"194",600,"interpolated",0,11.488,11.351,11.624,0.998,0.998,0.998,"Maui Nui","18",12.8441970205628
"195",700,"interpolated",0,11.639,11.523,11.756,0.999,0.999,0.999,"Maui Nui","18",13.0407000574376
"196",800,"interpolated",0,11.745,11.648,11.843,0.999,0.999,0.999,"Maui Nui","18",13.4124407545958
"197",900,"interpolated",0,11.82,11.74,11.9,0.999,0.999,1,"Maui Nui","18",13.567588362846
"198",1000,"interpolated",0,11.873,11.808,11.938,1,0.999,1,"Maui Nui","18",13.7833113214636
"199",1,"interpolated",0,1,1,1,0.326,0.319,0.332,"Maui Nui","19",1.02001246810175
"200",100,"interpolated",0,8.805,8.639,8.971,0.976,0.975,0.977,"Maui Nui","19",8.31903446661933
"201",200,"interpolated",0,10.651,10.407,10.895,0.986,0.985,0.986,"Maui Nui","19",10.1229805702121
"202",300,"interpolated",0,11.862,11.573,12.152,0.99,0.989,0.99,"Maui Nui","19",11.0360684996406
"203",400,"interpolated",0,12.732,12.416,13.048,0.993,0.992,0.993,"Maui Nui","19",11.897340665704
"204",500,"interpolated",0,13.385,13.053,13.717,0.994,0.994,0.995,"Maui Nui","19",12.2840558128155
"205",600,"interpolated",0,13.891,13.549,14.232,0.996,0.995,0.996,"Maui Nui","19",12.8441970205628
"206",700,"interpolated",0,14.292,13.943,14.641,0.996,0.996,0.997,"Maui Nui","19",13.0407000574376
"207",800,"interpolated",0,14.617,14.263,14.972,0.997,0.997,0.997,"Maui Nui","19",13.4124407545958
"208",900,"interpolated",0,14.885,14.527,15.244,0.998,0.997,0.998,"Maui Nui","19",13.567588362846
"209",1000,"interpolated",0,15.11,14.748,15.473,0.998,0.998,0.998,"Maui Nui","19",13.7833113214636
"210",1,"interpolated",0,1,1,1,0.432,0.425,0.439,"Maui Nui","20",1.02001246810175
"211",100,"interpolated",0,6.835,6.736,6.933,0.993,0.992,0.993,"Maui Nui","20",8.31903446661933
"212",200,"interpolated",0,7.362,7.233,7.49,0.996,0.996,0.996,"Maui Nui","20",10.1229805702121
"213",300,"interpolated",0,7.685,7.545,7.825,0.997,0.997,0.998,"Maui Nui","20",11.0360684996406
"214",400,"interpolated",0,7.9,7.752,8.049,0.998,0.998,0.998,"Maui Nui","20",11.897340665704
"215",500,"interpolated",0,8.051,7.894,8.208,0.999,0.998,0.999,"Maui Nui","20",12.2840558128155
"216",600,"interpolated",0,8.162,7.995,8.328,0.999,0.999,0.999,"Maui Nui","20",12.8441970205628
