"geo_entity2","PlotID","beta_S","beta_ENS_PIE","Iteration"
"Hawai'i Island",371,1.8,0.548200970602715,14
"Hawai'i Island",433,3,1.94301195810006,14
"Kaua'i Island",460,17.5,3.87752059573177,14
"O'ahu Island",1,2.57142857142857,1.44046669759403,15
"Maui Nui",19,7.5,4.10380476720875,15
"Maui Nui",21,3,1.84375101775317,15
"Maui Nui",25,1.875,1.01954847005141,15
"Maui Nui",31,3,2.51803342134735,15
"Maui Nui",42,2.14285714285714,1.36037472325353,15
"O'ahu Island",50,3.6,2.68901549249828,15
"Hawai'i Island",98,7,1.18968385540447,15
"Hawai'i Island",120,2.33333333333333,0.407568829937689,15
"O'ahu Island",141,2.57142857142857,1.72619516940031,15
"Maui Nui",147,2.5,1.85102653234661,15
"Maui Nui",149,3,1.65450208553773,15
"Kaua'i Island",194,2.13333333333333,0.307227831420223,15
"Kaua'i Island",195,3.55555555555556,0.837138174525523,15
"Kaua'i Island",218,32,3.015900423488,15
"Kaua'i Island",282,16,2.75419005616053,15
"Kaua'i Island",287,2,0.478051313664611,15
"O'ahu Island",288,9,3.72428355574525,15
"O'ahu Island",300,4.5,1.43416090028241,15
"Kaua'i Island",304,32,3.015900423488,15
"Kaua'i Island",308,10.6666666666667,1.29952300021287,15
"O'ahu Island",314,9,2.23457661894017,15
"O'ahu Island",319,4.5,1.40514746975549,15
"Hawai'i Island",326,2.33333333333333,0.937000850795942,15
"Hawai'i Island",395,2.33333333333333,0.912418513069083,15
"Hawai'i Island",405,3.5,1.13223943077545,15
"Hawai'i Island",469,7,1.18968385540447,15
"Hawai'i Island",481,7,1.18968385540447,15
"Hawai'i Island",2,1.85714285714286,0.742643358576135,16
"Hawai'i Island",4,2.16666666666667,1.06515283332638,16
"Hawai'i Island",13,2.16666666666667,1.42407060388752,16
"Maui Nui",33,1.75,0.638912615354332,16
"Maui Nui",35,2,1.36789281414289,16
"Maui Nui",42,2,0.88100607881734,16
"Maui Nui",45,1.75,0.609990173888677,16
"O'ahu Island",50,2.4,2.68204050781542,16
"Hawai'i Island",118,13,2.79567852902696,16
"Hawai'i Island",127,2.6,2.58600371748039,16
"Maui Nui",151,7,2.54411964998122,16
"Maui Nui",157,2.8,1.09640235172594,16
"Kaua'i Island",194,2.06666666666667,0.391633812605883,16
"Kaua'i Island",218,31,3.84447130271466,16
"Kaua'i Island",282,15.5,3.51086015661132,16
"O'ahu Island",285,4,3.36117360884137,16
"Kaua'i Island",287,1.9375,0.609388341304416,16
"O'ahu Island",288,6,3.71462320948528,16
"Kaua'i Island",295,10.3333333333333,1.62745754871575,16
"O'ahu Island",296,2.4,2.25815938312929,16
"Kaua'i Island",304,31,3.84447130271466,16
"O'ahu Island",314,6,2.22878039436159,16
"O'ahu Island",319,3,1.4015026852215,16
"Maui Nui",407,4.66666666666667,1.61056843211471,16
"Kaua'i Island",409,10.3333333333333,1.87500683250186,16
"Hawai'i Island",423,2.16666666666667,0.849988622758854,16
"O'ahu Island",461,12,4.15013075818356,16
"Hawai'i Island",485,13,2.79567852902696,16
"Maui Nui",24,3,1.19620057625519,17
"Maui Nui",34,2.14285714285714,1.43173747375444,17
"Maui Nui",39,2.5,1.49405587251383,17
"Maui Nui",45,1.875,0.904764912798723,17
"Maui Nui",47,3.75,1.42046238991337,17
"O'ahu Island",50,3.2,1.89768658568379,17
"O'ahu Island",141,2.28571428571429,1.21820697068565,17
"Maui Nui",144,2.5,1.35189065104325,17
"Maui Nui",159,2.14285714285714,1.5477728031784,17
"Hawai'i Island",181,2,1.11708838754153,17
