"PlotID","Long_Dec","Lat_Dec","HFP","HII","SubstrateAge_range","SubstrateAge_code","MAT","MAP","PET","AridInd","Elev_m"
179,-156.967322222222,20.8734472222222,26,17,1380000,1500000,20.45924949646,665.703674316406,3048.11889648438,0.218398198011309,512.878540039062
180,-156.988458333333,20.8780555555556,26,17,1380000,1500000,20.3787403106689,632.893798828125,2705.09399414062,0.233963699671437,524.721618652344
181,-155.456834,19.332256,15,10,1125,1125,16.2849407196045,2140.61889648438,1654.94897460938,1.29346519398862,1090.35095214844
182,-155.936438888889,19.7684166666667,28.3700466156006,18.2466983795166,2250,2250,19.5532093048096,721.463684082031,1610.28002929688,0.44803616200659,633.688293457031
183,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
184,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
185,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
186,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
187,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
188,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
189,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
190,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
191,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
192,-155.04493,19.70426,56.0600090026855,36.0400047302246,1125,1125,22.6821594238281,3347.41796875,2892.27905273438,1.15736341747016,32.1569671630859
193,-155.704006,20.056842,43.1157188415527,27.7438125610352,190000,460000,15.5268096923828,2231.01000976562,2880.06494140625,0.774638785983864,1244.01257324219
194,-159.660227,22.130645,34,22,4750000,5e+06,16.1575107574463,1528.22302246094,2599.0458984375,0.587993857045648,1136.97766113281
195,-159.689736111111,22.1414666666667,34,22,4750000,5e+06,18.3487701416016,1157.01196289062,2255.5859375,0.512954059366503,800.966796875
196,-159.667991666667,22.1477722222222,34,22,4750000,5e+06,17.3381805419922,1267.94799804688,2363.80102539062,0.5364021693989,978.552612304688
197,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
198,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
199,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
200,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
201,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
202,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
203,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
204,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
205,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
206,-154.94494,19.414264,34,22,575,475,21.7689800262451,2778.64501953125,3485.89111328125,0.797111822840538,216.175247192383
207,-155.85829,19.316406,22.8674468994141,14.9116306304932,2250,2250,19.5884609222412,1180.91394042969,2234.74194335938,0.528434141552147,595.070068359375
208,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
