"PlotIDn","Long_Dec","Lat_Dec","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET","SubstrateAge_range","SubstrateAge_code"
56,-155.391786410486,19.4902051380758,13.8820343017578,4348.9765625,21.4789237976074,120.279067993164,2089.02612304688,9,6,1040.94934082031,2250,2250
57,-155.550890013405,19.3317277213529,13.381947517395,3277.00512695312,19.8703594207764,119.428276062012,2269.64697265625,9,6,1019.95690917969,1125,1125
58,-155.555882314787,19.297965687704,13.9624319076538,3382.80322265625,19.7265758514404,117.718391418457,2015.8681640625,11.4256191253662,7.61707973480225,1058.96423339844,2250,2250
59,-155.574358357426,19.2959270071373,13.5916786193848,3176.82104492188,19.5748081207275,117.65828704834,2161.48193359375,9,6,1036.3330078125,2250,2250
60,-155.560506846501,19.3023889088873,13.8180913925171,3356.97827148438,19.7554302215576,117.604202270508,2062.90893554688,9,6,1051.03405761719,2250,2250
61,-155.600690246458,19.2668560399663,13.9541387557983,3096.17700195312,19.2953510284424,116.957847595215,1991.40942382812,13.3001146316528,8.86674308776855,1062.90551757812,1125,1125
62,-155.527164124727,19.3292047195785,14.0855321884155,3632.86547851562,20.1230506896973,118.756828308105,1984.66821289062,9,6,1061.96154785156,1125,1125
63,-155.554579520583,19.3493573442372,13.0123243331909,3224.07592773438,19.9500999450684,123.18815612793,2436.86645507812,9,6,995.442565917969,2250,2250
64,-155.403735482884,19.5132564145204,13.3082361221313,4148.5859375,21.5929565429688,123.221542358398,2348.66796875,9,6,1002.78820800781,8000,7500
65,-155.740004375435,19.3944076717657,13.432689666748,1059.93469238281,18.5918140411377,118.998748779297,2227.35546875,12.879732131958,8.439866065979,1029.64758300781,2250,2250
