"Family","SPP_CODE3","SPP_CODE3A","Accepted_name_species","Genus","Species","Native_Status_USDA","Native_Status_HawFlora","Native_Status_HawFlora_simple","Is_Angio","Order","Monocot"
35,"EUCROB","EUCROB","Eucalyptus robusta","Eucalyptus","robusta","L48 (I), HI (I)","Naturalized","alien",1,"Myrtales",0
35,"SYZCUM","SYZCUM","Syzygium cumini","Syzygium","cumini","L48 (I), HI (I)","Naturalized","alien",1,"Myrtales",0
35,"EUCGRA","EUCGRA","Eucalyptus grandis","Eucalyptus","grandis","L48 (I)","Naturalized","alien",1,"Myrtales",0
35,"SYZSAN","SYZSAN","Syzygium sandwicense","Syzygium","sandwicense",NA,"Endemic","native",1,"Myrtales",0
35,"METPOL","METPOL","Metrosideros polymorpha","Metrosideros","polymorpha","HI (N)","Endemic","native",1,"Myrtales",0
35,"MELQUI","MELQUI","Melaleuca quinquenervia","Melaleuca","quinquenervia",NA,"Naturalized","alien",1,"Myrtales",0
36,"PISSAN","PISSAN","Pisonia sandwicensis","Pisonia","sandwicensis",NA,"Endemic","native",1,"Caryophyllales",0
36,"PISBRU","PISBRU","Pisonia brunoniana","Pisonia","brunoniana",NA,"Indigenous","native",1,"Caryophyllales",0
37,"NESSAN","NESSAN","Nestegis sandwicensis","Nestegis","sandwicensis",NA,"Endemic","native",1,"Lamiales",0
37,"FRAUHD","FRAUHD","Fraxinus uhdei","Fraxinus","uhdei",NA,"Naturalized","alien",1,"Lamiales",0
38,"FREARB","FREARB","Freycinetia arborea","Freycinetia","arborea",NA,"Indigenous","native",1,"Pandanales",1
38,"PANTEC","PANTEC","Pandanus tectorius","Pandanus","tectorius","HI (I), PR (I)","Indigenous","native",1,"Pandanales",1
39,"BOCFRU","BOCFRU","Bocconia frutescens","Bocconia","frutescens",NA,"Naturalized","alien",1,"Ranunculales",0
40,"PASEDU","PASEDU","Passiflora edulis","Passiflora","edulis",NA,"Naturalized","alien",1,"Malpighiales",0
41,"ANTPLA","ANTPLA","Antidesma platyphyllum","Antidesma","platyphyllum",NA,"Endemic","native",1,"Malpighiales",0
41,"ANTPUL","ANTPUL","Antidesma pulvinatum","Antidesma","pulvinatum",NA,"Endemic","native",1,"Malpighiales",0
42,"PINPIN","PINPIN","Pinus pinaster","Pinus","pinaster",NA,"Naturalized","alien",0,"Pinales",0
42,"PINRAD","PINRAD","Pinus radiata","Pinus","radiata","L48 (N)","Naturalized","alien",0,"Pinales",0
42,"PINPAT","PINPAT","Pinus patula","Pinus","patula",NA,"Naturalized","alien",0,"Pinales",0
42,"PINELL","PINELL","Pinus elliottii","Pinus","elliottii","L48 (N)","Naturalized","alien",0,"Pinales",0
43,"PITGLA","PITGLA","Pittosporum glabrum","Pittosporum","glabrum",NA,"Endemic","native",1,"Apiales",0
43,"PITTER","PITTER","Pittosporum terminalioides","Pittosporum","terminalioides",NA,"Endemic","native",1,"Apiales",0
43,"M15","PITTSPP","Pittosporum spp1","Pittosporum","spp1",NA,NA,"uncertain",1,"Apiales",0
43,"PITHOS","PITHOS","Pittosporum hosmeri","Pittosporum","hosmeri",NA,"Endemic","native",1,"Apiales",0
44,"M35","BAMSPP","Bambusa spp1","Bambusa","spp1",NA,NA,"alien",1,"Poales",1
45,"MYRLAN","MYRLAN","Myrsine lanaiensis","Myrsine","lanaiensis",NA,"Endemic","native",1,"Ericales",0
45,"M11","MYRSPP","Myrsine spp1","Myrsine","spp1",NA,NA,"native",1,"Ericales",0
45,"M34","MYRSPP","Myrsine spp2","Myrsine","spp2",NA,NA,"native",1,"Ericales",0
45,"MYRSAN","MYRSAN","Myrsine sandwicensis","Myrsine","sandwicensis",NA,"Endemic","native",1,"Ericales",0
45,"ARDELL","ARDELL","Ardisia elliptica","Ardisia","elliptica",NA,"Naturalized","alien",1,"Ericales",0
45,"MYRLES","MYRLES","Myrsine lessertiana","Myrsine","lessertiana",NA,"Endemic","native",1,"Ericales",0
46,"GREBAN","GREBAN","Grevillea banksii","Grevillea","banksii",NA,"Naturalized","alien",1,"Proteales",0
46,"GREROB","GREROB","Grevillea robusta","Grevillea","robusta","L48 (I), HI (I), PR (I)","Naturalized","alien",1,"Proteales",0
47,"ALPPON","ALPPON","Alphitonia ponderosa","Alphitonia","ponderosa",NA,"Endemic","native",1,"Rosales",0
47,"COLOPP","COLOPP","Colubrina oppositifolia","Colubrina","oppositifolia",NA,"Endemic","native",1,"Rosales",0
48,"M55","PRUSPP","Prunus spp1","Prunus","spp1",NA,NA,"alien",1,"Rosales",0
48,"RUBMAC","RUBMAC","Rubus macraei","Rubus","macraei",NA,"Endemic","native",1,"Rosales",0
48,"OSTANT","OSTANT","Osteomeles anthyllidifolia","Osteomeles","anthyllidifolia","HI (N)","Indigenous","native",1,"Rosales",0
48,"RUBROS","RUBROS","Rubus rosifolius","Rubus","rosifolius",NA,"Naturalized","alien",1,"Rosales",0
48,"RUBNIV","RUBNIV","Rubus niveus","Rubus","niveus",NA,"Naturalized","alien",1,"Rosales",0
49,"M30","COPSPP","Coprosma spp1","Coprosma","spp1",NA,NA,"native",1,"Gentianales",0
49,"COPWAI","COPWAI","Coprosma waimeae","Coprosma","waimeae",NA,"Endemic","native",1,"Gentianales",0
49,"BOBBRE","BOBBRE","Bobea brevipes","Bobea","brevipes",NA,"Endemic","native",1,"Gentianales",0
49,"M52","COPSPP","Coprosma spp4","Coprosma","spp4",NA,NA,"native",1,"Gentianales",0
49,"M66","KADSPP","Kadua spp1","Kadua","spp1",NA,NA,"native",1,"Gentianales",0
49,"BOBSAN","BOBSAN","Bobea sandwicensis","Bobea","sandwicensis",NA,"Endemic","native",1,"Gentianales",0
49,"COPRHY","COPRHY","Coprosma rhynchocarpa","Coprosma","rhynchocarpa",NA,"Endemic","native",1,"Gentianales",0
49,"MORCIT","MORCIT","Morinda citrifolia","Morinda","citrifolia","L48 (I), HI (I), PR (I), VI (I)","Polynesian_Intro","alien",1,"Gentianales",0
49,"M31","COPSPP","Coprosma spp2","Coprosma","spp2",NA,NA,"native",1,"Gentianales",0
49,"COPMON","COPMON","Coprosma montana","Coprosma","montana",NA,"Endemic","native",1,"Gentianales",0
49,"KADACU","KADACU","Kadua acuminata","Kadua","acuminata",NA,"Endemic","native",1,"Gentianales",0
49,"PSYFAU","PSYFAU","Psychotria fauriei","Psychotria","fauriei",NA,"Endemic","native",1,"Gentianales",0
49,"PSYMA2","PSYMA2","Psychotria mariniana","Psychotria","mariniana",NA,"Endemic","native",1,"Gentianales",0
49,"PSYHEX","PSYHEX","Psychotria hexandra","Psychotria","hexandra",NA,"Endemic","native",1,"Gentianales",0
49,"PSYHAW","PSYHAW","Psychotria hawaiiensis","Psychotria","hawaiiensis",NA,"Endemic","native",1,"Gentianales",0
49,"KADAFF","KADAFF","Kadua affinis","Kadua","affinis",NA,"Endemic","native",1,"Gentianales",0
