"Long_Dec","Lat_Dec","PlotIDn","CellID","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET"
-156.25,20.88,343,30299808,20.793493270874,5998.69091796875,28.1347103118896,127.16234588623,436.730651855469,28,18,1258.78515625
-157.83,21.36,344,29511489,21.5445976257324,1270.74462890625,42.3267517089844,135.818923950195,309.122802734375,65,42,1318.88122558594
-156.57,20.98,345,30136708,21.3127136230469,7764.75927734375,32.5472564697266,129.003204345703,443.844970703125,28,18,1287.3115234375
-155.1,19.43,346,32678007,19.8554172515869,4051.09448242188,22.3960037231445,121.399887084961,686.228271484375,53,34,1275.55041503906
-155.7,20.16,347,31482110,19.4623146057129,2256.16625976562,27.6535778045654,131.133911132812,692.563171386719,28,18,1244.40747070312
-156.23,20.85,348,30354166,18.8967514038086,6164.2041015625,28.6112422943115,134.235076904297,735.485168457031,28,18,1217.68359375
-156.07,20.77,349,30476483,18.9298191070557,5124.6474609375,27.9563674926758,132.268981933594,718.331970214844,18,12,1217.53698730469
-156.12,20.79,350,30449300,18.8772163391113,5306.58251953125,27.7552967071533,133.155502319336,737.578857421875,18,12,1216.36669921875
-155.31,19.97,351,31794697,18.5835247039795,3810.19189453125,24.8717708587646,127.031219482422,840.317749023438,15,10,1225.71923828125
-155.18,19.52,352,32528519,18.8735198974609,4483.2197265625,22.8255500793457,125.647079467773,867.491027832031,21,14,1242.39880371094
-155.12,19.65,353,32311100,22.6560764312744,3882.2001953125,22.882438659668,121.621467590332,289.751953125,34.5634346008301,22.2419815063477,1341.60070800781
-155.11,19.8,354,32066498,23.5667533874512,3619.59936523438,23.4497623443604,120.079071044922,128.268829345703,34,22,1355.84716796875
-155.12,19.61,355,32379045,21.6770114898682,4046.36108398438,22.8352756500244,122.174041748047,432.47705078125,26,17,1317.61804199219
-156.02,20.76,356,30490077,22.1210384368896,4517.57080078125,28.0200271606445,125.775108337402,278.390014648438,27.9664707183838,18.2751846313477,1282.78918457031
-156,20.72,357,30558024,23.3581142425537,3903.3447265625,28.6756362915039,126.201393127441,130.875106811523,25,16,1316.36120605469
-156.02,20.69,358,30612378,22.7886447906494,3764.35083007812,29.5540904998779,126.819076538086,220.717956542969,25,16,1301.05151367188
